FECHA,DEPARTAMENTO,MUNICIPIO,DÍA,CLASE DE ARMA,PERMISO,ZONA,CLASE DE SITIO,CÓDIGO DANE,CANTIDAD
01/01/2018,ANTIOQUIA,MEDELLÍN (CT),Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,5001000,1
01/01/2018,ATLÁNTICO,BARRANQUILLA (CT),Lunes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,8001000,1
01/01/2018,ATLÁNTICO,BARRANQUILLA (CT),Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,8001000,1
01/01/2018,ATLÁNTICO,CAMPO DE LA CRUZ,Lunes,ESCOPETA,SIN PERMISO,RURAL,CARRETERA,8137000,1
01/01/2018,ATLÁNTICO,SOLEDAD,Lunes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,8758000,1
01/01/2018,ATLÁNTICO,SOLEDAD,Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,8758000,1
01/01/2018,BOYACÁ,SAN JOSÉ DE PARE,Lunes,ESCOPETA,SIN PERMISO,RURAL,FINCAS Y SIMILARES,15664000,1
01/01/2018,CALDAS,CHINCHINÁ,Lunes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,17174000,1
01/01/2018,CALDAS,LA MERCED,Lunes,ESCOPETA,SIN PERMISO,URBANA,INSTALACIONES DE LA POLICIA,17388000,1
01/01/2018,CAUCA,CALOTO,Lunes,PISTOLA,SIN PERMISO,RURAL,CARRETERA,19142000,1
01/01/2018,CAUCA,EL TAMBO,Lunes,PISTOLA,SIN PERMISO,RURAL,VIAS PUBLICAS,19256000,1
01/01/2018,CAUCA,POPAYÁN (CT),Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,19001000,2
01/01/2018,CESAR,SAN ALBERTO,Lunes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,20710000,1
01/01/2018,CESAR,SAN ALBERTO,Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,20710000,2
01/01/2018,CHOCÓ,NÓVITA,Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,27491000,1
01/01/2018,CHOCÓ,QUIBDÓ (CT),Lunes,FUSIL / RIFLE,SIN PERMISO,URBANA,ALTAMAR,27001000,1
01/01/2018,CHOCÓ,QUIBDÓ (CT),Lunes,PISTOLA,SIN PERMISO,URBANA,ALTAMAR,27001000,1
01/01/2018,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,11001000,1
01/01/2018,CUNDINAMARCA,BOGOTÁ D.C. (CT),Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,11001000,4
01/01/2018,CUNDINAMARCA,GUADUAS,Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,25320000,1
01/01/2018,CUNDINAMARCA,TENA,Lunes,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,25797000,1
01/01/2018,GUAJIRA,MAICAO,Lunes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,44430000,1
01/01/2018,GUAJIRA,RIOHACHA (CT),Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,44001000,2
01/01/2018,GUAVIARE,SAN JOSÉ DEL GUAVIARE (CT),Lunes,PISTOLA,SIN PERMISO,URBANA,AEROPUERTO,95001000,1
01/01/2018,HUILA,NEIVA (CT),Lunes,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,41001000,2
01/01/2018,HUILA,TIMANÁ,Lunes,REVOLVER,CON PERMISO,RURAL,VIAS PUBLICAS,41807000,1
01/01/2018,MAGDALENA,FUNDACIÓN,Lunes,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,47288000,1
01/01/2018,MAGDALENA,SANTA MARTA (CT),Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,47001000,2
01/01/2018,NARIÑO,SAN ANDRES DE TUMACO,Lunes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,52835000,1
01/01/2018,NARIÑO,YACUANQUER,Lunes,REVOLVER,SIN PERMISO,URBANA,FRENTE A RESIDENCIAS - VIA PUBLICA,52885000,1
01/01/2018,NORTE DE SANTANDER,OCAÑA,Lunes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,54498000,1
01/01/2018,NORTE DE SANTANDER,TIBÚ,Lunes,PISTOLA,SIN PERMISO,RURAL,CARRETERA,54810000,1
01/01/2018,PUTUMAYO,PUERTO ASÍS,Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,86568000,1
01/01/2018,RISARALDA,LA VIRGINIA,Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,66400000,1
01/01/2018,SANTANDER,BUCARAMANGA (CT),Lunes,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,68001000,1
01/01/2018,SANTANDER,FLORIDABLANCA,Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,68276000,1
01/01/2018,SUCRE,LOS PALMITOS,Lunes,PISTOLA,CON PERMISO,RURAL,TRAMO DE VIA,70418000,1
01/01/2018,SUCRE,SINCELEJO (CT),Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,70001000,1
01/01/2018,TOLIMA,PLANADAS,Lunes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,73555000,1
01/01/2018,TOLIMA,SALDAÑA,Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,73671000,1
01/01/2018,VALLE,ALCALÁ,Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,76020000,1
01/01/2018,VALLE,BUENAVENTURA,Lunes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,76109000,1
01/01/2018,VALLE,CALI (CT),Lunes,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,76001000,1
01/01/2018,VALLE,CALI (CT),Lunes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,76001000,1
01/01/2018,VALLE,CALI (CT),Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,76001000,3
01/01/2018,VALLE,CANDELARIA,Lunes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,76130000,1
01/01/2018,VALLE,JAMUNDÍ,Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,76364000,2
01/01/2018,VALLE,PALMIRA,Lunes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,76520000,1
02/01/2018,ANTIOQUIA,BETULIA,Martes,REVOLVER,SIN PERMISO,RURAL,VIAS PUBLICAS,5093000,1
02/01/2018,ANTIOQUIA,ITAGUI,Martes,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,5360000,1
02/01/2018,ANTIOQUIA,LA ESTRELLA,Martes,REVOLVER,CON PERMISO,RURAL,VIAS PUBLICAS,5380000,1
02/01/2018,ANTIOQUIA,MEDELLÍN (CT),Martes,FUSIL / RIFLE,SIN PERMISO,URBANA,VIAS PUBLICAS,5001000,1
02/01/2018,ANTIOQUIA,MEDELLÍN (CT),Martes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,5001000,1
02/01/2018,ANTIOQUIA,MEDELLÍN (CT),Martes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,5001000,1
02/01/2018,ANTIOQUIA,PUERTO TRIUNFO,Martes,REVOLVER,CON PERMISO,RURAL,TRAMO DE VIA,5591000,1
02/01/2018,ATLÁNTICO,BARRANQUILLA (CT),Martes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,8001000,2
02/01/2018,BOLÍVAR,CARTAGENA (CT),Martes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,13001000,1
02/01/2018,BOLÍVAR,CARTAGENA (CT),Martes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,13001000,1
02/01/2018,BOYACÁ,EL COCUY,Martes,ESCOPETA DE FISTO,SIN PERMISO,RURAL,VIAS PUBLICAS,15244000,1
02/01/2018,BOYACÁ,MONGUA,Martes,REVOLVER,SIN PERMISO,RURAL,VIAS PUBLICAS,15464000,1
02/01/2018,CALDAS,SUPÍA,Martes,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,17777000,1
02/01/2018,CESAR,AGUSTÍN CODAZZI,Martes,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,20013000,1
02/01/2018,CHOCÓ,QUIBDÓ (CT),Martes,REVOLVER,CON PERMISO,URBANA,VIAS PUBLICAS,27001000,1
02/01/2018,CÓRDOBA,CIÉNAGA DE ORO,Martes,ESCOPETA,SIN PERMISO,RURAL,LOTE BALDIO,23189000,1
02/01/2018,CÓRDOBA,PURÍSIMA,Martes,ESCOPETA,SIN PERMISO,URBANA,VIAS PUBLICAS,23586000,1
02/01/2018,CUNDINAMARCA,BOGOTÁ D.C. (CT),Martes,REVOLVER,SIN PERMISO,URBANA,CASAS DE HABITACION,11001000,1
02/01/2018,CUNDINAMARCA,GUASCA,Martes,ESCOPETA,SIN PERMISO,RURAL,VIAS PUBLICAS,25322000,1
02/01/2018,CUNDINAMARCA,SOACHA,Martes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,25754000,1
02/01/2018,HUILA,ALGECIRAS,Martes,ESCOPETA,SIN PERMISO,URBANA,CASAS DE HABITACION,41020000,1
02/01/2018,HUILA,GIGANTE,Martes,PISTOLA,CON PERMISO,URBANA,VIAS PUBLICAS,41306000,1
02/01/2018,HUILA,NEIVA (CT),Martes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,41001000,1
02/01/2018,META,PUERTO RICO,Martes,ESCOPETA,SIN PERMISO,RURAL,FINCAS Y SIMILARES,50590000,1
02/01/2018,NARIÑO,PASTO (CT),Martes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,52001000,1
02/01/2018,NORTE DE SANTANDER,CÚCUTA (CT),Martes,PISTOLA,SIN PERMISO,URBANA,VIAS PUBLICAS,54001000,1
02/01/2018,NORTE DE SANTANDER,CÚCUTA (CT),Martes,REVOLVER,SIN PERMISO,URBANA,VIAS PUBLICAS,54001000,1
