"","FECHA","DEPARTAMENTO","MUNICIPIO","DÍA","CLASE.DE.ARMA","PERMISO","ZONA","CLASE.DE.SITIO","CÓDIGO.DANE","CANTIDAD"
"1","03/01/2018","RISARALDA","PEREIRA (CT)","Miércoles","REVOLVER","SIN PERMISO","URBANA","VIAS PUBLICAS","66001000",1
"2","07/01/2018","RISARALDA","PEREIRA (CT)","Domingo","REVOLVER","SIN PERMISO","RURAL","VIAS PUBLICAS","66001000",1
"3","11/01/2018","RISARALDA","PEREIRA (CT)","Jueves","ESCOPETA","SIN PERMISO","URBANA","VIAS PUBLICAS","66001000",1
"4","12/01/2018","RISARALDA","PEREIRA (CT)","Viernes","REVOLVER","SIN PERMISO","RURAL","FINCAS Y SIMILARES","66001000",1
"5","17/01/2018","RISARALDA","PEREIRA (CT)","Miércoles","ESCOPETA","SIN PERMISO","URBANA","VIAS PUBLICAS","66001000",1
"6","17/01/2018","RISARALDA","PEREIRA (CT)","Miércoles","REVOLVER","SIN PERMISO","URBANA","VIAS PUBLICAS","66001000",1
"7","18/01/2018","RISARALDA","PEREIRA (CT)","Jueves","REVOLVER","SIN PERMISO","URBANA","RESTAURANTES","66001000",1
"8","21/01/2018","RISARALDA","PEREIRA (CT)","Domingo","PISTOLA","SIN PERMISO","URBANA","VIAS PUBLICAS","66001000",1
"9","22/01/2018","RISARALDA","PEREIRA (CT)","Lunes","PISTOLA","SIN PERMISO","URBANA","VIAS PUBLICAS","66001000",1
"10","22/01/2018","RISARALDA","PEREIRA (CT)","Lunes","REVOLVER","SIN PERMISO","URBANA","TERMINAL DE TRANSPORTES","66001000",1
"11","25/01/2018","RISARALDA","PEREIRA (CT)","Jueves","ESCOPETA","CON PERMISO","RURAL","VIAS PUBLICAS","66001000",2
"12","01/02/2018","RISARALDA","PEREIRA (CT)","Jueves","REVOLVER","SIN PERMISO","RURAL","CARRETERA","66001000",1
"13","02/02/2018","RISARALDA","PEREIRA (CT)","Viernes","ESCOPETA","SIN PERMISO","RURAL","VIAS PUBLICAS","66001000",1
"14","02/02/2018","RISARALDA","PEREIRA (CT)","Viernes","REVOLVER","SIN PERMISO","URBANA","VIAS PUBLICAS","66001000",1
"15","04/02/2018","RISARALDA","PEREIRA (CT)","Domingo","REVOLVER","CON PERMISO","URBANA","VIAS PUBLICAS","66001000",1
"16","08/02/2018","RISARALDA","PEREIRA (CT)","Jueves","ESCOPETA","SIN PERMISO","RURAL","FONDAS","66001000",1
"17","12/02/2018","RISARALDA","PEREIRA (CT)","Lunes","PISTOLA","SIN PERMISO","URBANA","VIAS PUBLICAS","66001000",1
"18","13/02/2018","RISARALDA","PEREIRA (CT)","Martes","REVOLVER","SIN PERMISO","RURAL","CARRETERA","66001000",1
"19","13/02/2018","RISARALDA","PEREIRA (CT)","Martes","PISTOLA","SIN PERMISO","URBANA","VIAS PUBLICAS","66001000",2
"20","14/02/2018","RISARALDA","PEREIRA (CT)","Miércoles","REVOLVER","CON PERMISO","URBANA","VIAS PUBLICAS","66001000",1
"21","15/02/2018","RISARALDA","PEREIRA (CT)","Jueves","ESCOPETA","SIN PERMISO","URBANA","VIAS PUBLICAS","66001000",1
"22","16/02/2018","RISARALDA","PEREIRA (CT)","Viernes","REVOLVER","SIN PERMISO","URBANA","VIAS PUBLICAS","66001000",1
"23","17/02/2018","RISARALDA","PEREIRA (CT)","Sábado","PISTOLA","SIN PERMISO","RURAL","VIAS PUBLICAS","66001000",1
"24","17/02/2018","RISARALDA","PEREIRA (CT)","Sábado","REVOLVER","SIN PERMISO","URBANA","VIAS PUBLICAS","66001000",1
"25","20/02/2018","RISARALDA","PEREIRA (CT)","Martes","REVOLVER","SIN PERMISO","URBANA","VIAS PUBLICAS","66001000",1
"26","28/02/2018","RISARALDA","PEREIRA (CT)","Miércoles","ESCOPETA","SIN PERMISO","RURAL","VIAS PUBLICAS","66001000",14
"27","28/02/2018","RISARALDA","PEREIRA (CT)","Miércoles","PISTOLA","SIN PERMISO","RURAL","VIAS PUBLICAS","66001000",1
"28","28/02/2018","RISARALDA","PEREIRA (CT)","Miércoles","REVOLVER","SIN PERMISO","RURAL","VIAS PUBLICAS","66001000",6
"29","28/02/2018","RISARALDA","PEREIRA (CT)","Miércoles","ESCOPETA","SIN PERMISO","URBANA","VIAS PUBLICAS","66001000",7
"30","28/02/2018","RISARALDA","PEREIRA (CT)","Miércoles","REVOLVER","SIN PERMISO","URBANA","VIAS PUBLICAS","66001000",3
"31","28/02/2018","RISARALDA","PEREIRA (CT)","Miércoles","ESCOPETA","SIN PERMISO","URBANA","PARQUES","66001000",3
"32","28/02/2018","RISARALDA","PEREIRA (CT)","Miércoles","REVOLVER","SIN PERMISO","URBANA","PARQUES","66001000",1
"33","06/03/2018","RISARALDA","PEREIRA (CT)","Martes","REVOLVER","SIN PERMISO","URBANA","LOCAL COMERCIAL","66001000",1
"34","08/03/2018","RISARALDA","PEREIRA (CT)","Jueves","REVOLVER","SIN PERMISO","URBANA","HOTELES, RESIDENCIAS, Y SIMILARES.","66001000",1
"35","10/03/2018","RISARALDA","PEREIRA (CT)","Sábado","REVOLVER","SIN PERMISO","RURAL","VIAS PUBLICAS","66001000",1
"36","16/03/2018","RISARALDA","PEREIRA (CT)","Viernes","REVOLVER","SIN PERMISO","URBANA","CASAS DE HABITACION","66001000",1
"37","19/03/2018","RISARALDA","PEREIRA (CT)","Lunes","PISTOLA","SIN PERMISO","RURAL","CARRETERA","66001000",1
"38","21/03/2018","RISARALDA","PEREIRA (CT)","Miércoles","REVOLVER","SIN PERMISO","RURAL","VIAS PUBLICAS","66001000",1
"39","21/03/2018","RISARALDA","PEREIRA (CT)","Miércoles","REVOLVER","SIN PERMISO","RURAL","FINCAS Y SIMILARES","66001000",1
"40","22/03/2018","RISARALDA","PEREIRA (CT)","Jueves","REVOLVER","SIN PERMISO","RURAL","FINCAS Y SIMILARES","66001000",1
"41","25/03/2018","RISARALDA","PEREIRA (CT)","Domingo","ESCOPETA","SIN PERMISO","RURAL","VIAS PUBLICAS","66001000",2
"42","28/03/2018","RISARALDA","PEREIRA (CT)","Miércoles","ESCOPETA","SIN PERMISO","URBANA","VIAS PUBLICAS","66001000",3
"43","28/03/2018","RISARALDA","PEREIRA (CT)","Miércoles","PISTOLA","SIN PERMISO","URBANA","VIAS PUBLICAS","66001000",1
"44","01/04/2018","RISARALDA","PEREIRA (CT)","Domingo","REVOLVER","SIN PERMISO","URBANA","VIAS PUBLICAS","66001000",1
"45","08/04/2018","RISARALDA","PEREIRA (CT)","Domingo","ESCOPETA","SIN PERMISO","URBANA","VIAS PUBLICAS","66001000",1
"46","12/04/2018","RISARALDA","PEREIRA (CT)","Jueves","PISTOLA","SIN PERMISO","URBANA","VIAS PUBLICAS","66001000",1
"47","14/04/2018","RISARALDA","PEREIRA (CT)","Sábado","PISTOLA","CON PERMISO","RURAL","VIAS PUBLICAS","66001000",1
"48","22/04/2018","RISARALDA","PEREIRA (CT)","Domingo","REVOLVER","SIN PERMISO","URBANA","VIAS PUBLICAS","66001000",1
"49","23/04/2018","RISARALDA","PEREIRA (CT)","Lunes","ESCOPETA","SIN PERMISO","RURAL","FINCAS Y SIMILARES","66001000",1
"50","24/04/2018","RISARALDA","PEREIRA (CT)","Martes","REVOLVER","SIN PERMISO","URBANA","VIAS PUBLICAS","66001000",1
"51","24/04/2018","RISARALDA","PEREIRA (CT)","Martes","PISTOLA","SIN PERMISO","URBANA","INTERIOR VEHICULO SERVICIO PUBLICO","66001000",1
"52","25/04/2018","RISARALDA","PEREIRA (CT)","Miércoles","ESCOPETA","SIN PERMISO","URBANA","VIAS PUBLICAS","66001000",1
"53","26/04/2018","RISARALDA","PEREIRA (CT)","Jueves","ESCOPETA","SIN PERMISO","RURAL","VIAS PUBLICAS","66001000",5
"54","26/04/2018","RISARALDA","PEREIRA (CT)","Jueves","REVOLVER","SIN PERMISO","RURAL","VIAS PUBLICAS","66001000",1
"55","26/04/2018","RISARALDA","PEREIRA (CT)","Jueves","ESCOPETA","SIN PERMISO","URBANA","VIAS PUBLICAS","66001000",1
"56","26/04/2018","RISARALDA","PEREIRA (CT)","Jueves","REVOLVER","SIN PERMISO","URBANA","VIAS PUBLICAS","66001000",4
"57","26/04/2018","RISARALDA","PEREIRA (CT)","Jueves","REVOLVER","SIN PERMISO","URBANA","CASAS DE HABITACION","66001000",1
"58","27/04/2018","RISARALDA","PEREIRA (CT)","Viernes","ESCOPETA","SIN PERMISO","URBANA","TRAMO DE VIA","66001000",1
"59","28/04/2018","RISARALDA","PEREIRA (CT)","Sábado","ESCOPETA","SIN PERMISO","RURAL","VIAS PUBLICAS","66001000",1
"60","29/04/2018","RISARALDA","PEREIRA (CT)","Domingo","PISTOLA","SIN PERMISO","RURAL","VIAS PUBLICAS","66001000",1
"61","29/04/2018","RISARALDA","PEREIRA (CT)","Domingo","PISTOLA","SIN PERMISO","URBANA","VIAS PUBLICAS","66001000",1
"62","04/05/2018","RISARALDA","PEREIRA (CT)","Viernes","ESCOPETA","SIN PERMISO","URBANA","VIAS PUBLICAS","66001000",1
"63","07/05/2018","RISARALDA","PEREIRA (CT)","Lunes","SUBAMETRALLADORA","SIN PERMISO","URBANA","CASAS DE HABITACION","66001000",1
"64","10/05/2018","RISARALDA","PEREIRA (CT)","Jueves","REVOLVER","SIN PERMISO","RURAL","CARRETERA","66001000",1
"65","10/05/2018","RISARALDA","PEREIRA (CT)","Jueves","REVOLVER","SIN PERMISO","URBANA","VIAS PUBLICAS","66001000",1
