"","FECHA","DEPARTAMENTO","MUNICIPIO","DIA","CLASE.DE.ESTUPEFACIENTE","CLASE.DE.SITIO","ZONA","UNIDAD.DE.MEDIDA","CÓDIGO.DANE","CANTIDAD"
"1","01/01/2018 12:00:00 AM","RISARALDA","DOSQUEBRADAS","Lunes","BASE DE COCA","VIAS PUBLICAS","URBANA","GRAMO",66170000,50
"2","01/14/2018 12:00:00 AM","RISARALDA","DOSQUEBRADAS","Domingo","BASE DE COCA","VIAS PUBLICAS","URBANA","GRAMO",66170000,76
"3","01/18/2018 12:00:00 AM","RISARALDA","DOSQUEBRADAS","Jueves","BASE DE COCA","VIAS PUBLICAS","URBANA","GRAMO",66170000,9
"4","01/24/2018 12:00:00 AM","RISARALDA","DOSQUEBRADAS","Miércoles","BASE DE COCA","VIAS PUBLICAS","URBANA","GRAMO",66170000,15
"5","03/03/2018 12:00:00 AM","RISARALDA","DOSQUEBRADAS","Sábado","BASE DE COCA","VIAS PUBLICAS","URBANA","GRAMO",66170000,6
"6","03/12/2018 12:00:00 AM","RISARALDA","DOSQUEBRADAS","Lunes","BASE DE COCA","VIAS PUBLICAS","URBANA","GRAMO",66170000,11
"7","04/03/2018 12:00:00 AM","RISARALDA","DOSQUEBRADAS","Martes","BASE DE COCA","VIAS PUBLICAS","URBANA","GRAMO",66170000,15
"8","04/07/2018 12:00:00 AM","RISARALDA","DOSQUEBRADAS","Sábado","BASE DE COCA","CASAS DE HABITACION","URBANA","GRAMO",66170000,1500
"9","04/21/2018 12:00:00 AM","RISARALDA","DOSQUEBRADAS","Sábado","BASE DE COCA","VIAS PUBLICAS","URBANA","GRAMO",66170000,3
"10","05/06/2018 12:00:00 AM","RISARALDA","DOSQUEBRADAS","Domingo","BASE DE COCA","VIAS PUBLICAS","URBANA","GRAMO",66170000,1
"11","05/18/2018 12:00:00 AM","RISARALDA","DOSQUEBRADAS","Viernes","BASE DE COCA","VIAS PUBLICAS","URBANA","GRAMO",66170000,60
