"","FECHA","DEPARTAMENTO","MUNICIPIO","DIA","CLASE.DE.ESTUPEFACIENTE","CLASE.DE.SITIO","ZONA","UNIDAD.DE.MEDIDA","CÓDIGO.DANE","CANTIDAD"
"1","01/13/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Sábado","BASE DE COCA","VIAS PUBLICAS","RURAL","GRAMO",66001000,3
"2","01/18/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Jueves","BASE DE COCA","VIAS PUBLICAS","RURAL","GRAMO",66001000,5
"3","01/19/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Viernes","BASE DE COCA","VIAS PUBLICAS","URBANA","GRAMO",66001000,20
"4","01/24/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Miércoles","BASE DE COCA","VIAS PUBLICAS","RURAL","GRAMO",66001000,9
"5","01/26/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Viernes","BASE DE COCA","CARRETERA","RURAL","GRAMO",66001000,300
"6","02/04/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Domingo","BASE DE COCA","CARRETERA","RURAL","GRAMO",66001000,7000
"7","02/07/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Miércoles","BASE DE COCA","VIAS PUBLICAS","URBANA","GRAMO",66001000,7
"8","02/08/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Jueves","BASE DE COCA","VIAS PUBLICAS","URBANA","GRAMO",66001000,5
"9","02/15/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Jueves","BASE DE COCA","VIAS PUBLICAS","RURAL","GRAMO",66001000,15
"10","02/19/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Lunes","BASE DE COCA","VIAS PUBLICAS","URBANA","GRAMO",66001000,4
"11","02/20/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Martes","BASE DE COCA","VIAS PUBLICAS","URBANA","GRAMO",66001000,28
"12","02/23/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Viernes","BASE DE COCA","CASAS DE HABITACION","URBANA","GRAMO",66001000,18
"13","02/24/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Sábado","BASE DE COCA","VIAS PUBLICAS","RURAL","GRAMO",66001000,15
"14","02/24/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Sábado","BASE DE COCA","VIAS PUBLICAS","URBANA","GRAMO",66001000,7
"15","02/28/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Miércoles","BASE DE COCA","VIAS PUBLICAS","URBANA","GRAMO",66001000,7
"16","03/01/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Jueves","BASE DE COCA","VIAS PUBLICAS","RURAL","GRAMO",66001000,10
"17","03/02/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Viernes","BASE DE COCA","VIAS PUBLICAS","URBANA","GRAMO",66001000,95
"18","03/03/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Sábado","BASE DE COCA","VIAS PUBLICAS","URBANA","GRAMO",66001000,1
"19","03/04/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Domingo","BASE DE COCA","VIAS PUBLICAS","URBANA","GRAMO",66001000,16
"20","03/12/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Lunes","BASE DE COCA","VIAS PUBLICAS","URBANA","GRAMO",66001000,12
"21","03/13/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Martes","BASE DE COCA","VIAS PUBLICAS","RURAL","GRAMO",66001000,16
"22","03/15/2018 12:00:00 AM","RISARALDA","PEREIRA (CT)","Jueves","BASE DE COCA","VIAS PUBLICAS","URBANA","GRAMO",66001000,3
