"","FECHA","DEPARTAMENTO","MUNICIPIO","DIA","CLASE.DE.ESTUPEFACIENTE","CLASE.DE.SITIO","ZONA","UNIDAD.DE.MEDIDA","CÓDIGO.DANE","CANTIDAD"
"1","01/04/2018 12:00:00 AM","RISARALDA","LA VIRGINIA","Jueves","BASE DE COCA","VIAS PUBLICAS","URBANA","GRAMO",66400000,47
"2","01/30/2018 12:00:00 AM","RISARALDA","LA VIRGINIA","Martes","BASE DE COCA","VIAS PUBLICAS","URBANA","GRAMO",66400000,7
"3","02/24/2018 12:00:00 AM","RISARALDA","LA VIRGINIA","Sábado","BASE DE COCA","VIAS PUBLICAS","URBANA","GRAMO",66400000,12
"4","03/09/2018 12:00:00 AM","RISARALDA","LA VIRGINIA","Viernes","BASE DE COCA","VIAS PUBLICAS","URBANA","GRAMO",66400000,3
"5","04/28/2018 12:00:00 AM","RISARALDA","LA VIRGINIA","Sábado","BASE DE COCA","VIAS PUBLICAS","URBANA","GRAMO",66400000,22
"6","01/08/2018 12:00:00 AM","RISARALDA","LA VIRGINIA","Lunes","BASUCO","VIAS PUBLICAS","URBANA","GRAMO",66400000,63
"7","01/17/2018 12:00:00 AM","RISARALDA","LA VIRGINIA","Miércoles","BASUCO","VIAS PUBLICAS","URBANA","GRAMO",66400000,100
"8","01/20/2018 12:00:00 AM","RISARALDA","LA VIRGINIA","Sábado","BASUCO","VIAS PUBLICAS","URBANA","GRAMO",66400000,326
"9","01/22/2018 12:00:00 AM","RISARALDA","LA VIRGINIA","Lunes","BASUCO","VIAS PUBLICAS","URBANA","GRAMO",66400000,101
"10","01/26/2018 12:00:00 AM","RISARALDA","LA VIRGINIA","Viernes","BASUCO","VIAS PUBLICAS","URBANA","GRAMO",66400000,150
"11","01/31/2018 12:00:00 AM","RISARALDA","LA VIRGINIA","Miércoles","BASUCO","VIAS PUBLICAS","URBANA","GRAMO",66400000,4
"12","02/02/2018 12:00:00 AM","RISARALDA","LA VIRGINIA","Viernes","BASUCO","VIAS PUBLICAS","URBANA","GRAMO",66400000,19
"13","02/04/2018 12:00:00 AM","RISARALDA","LA VIRGINIA","Domingo","BASUCO","VIAS PUBLICAS","URBANA","GRAMO",66400000,6
"14","02/05/2018 12:00:00 AM","RISARALDA","LA VIRGINIA","Lunes","BASUCO","VIAS PUBLICAS","URBANA","GRAMO",66400000,8
"15","02/08/2018 12:00:00 AM","RISARALDA","LA VIRGINIA","Jueves","BASUCO","VIAS PUBLICAS","URBANA","GRAMO",66400000,7
"16","02/09/2018 12:00:00 AM","RISARALDA","LA VIRGINIA","Viernes","BASUCO","VIAS PUBLICAS","URBANA","GRAMO",66400000,19
"17","02/11/2018 12:00:00 AM","RISARALDA","LA VIRGINIA","Domingo","BASUCO","CASAS DE HABITACION","URBANA","GRAMO",66400000,75
"18","02/12/2018 12:00:00 AM","RISARALDA","LA VIRGINIA","Lunes","BASUCO","VIAS PUBLICAS","URBANA","GRAMO",66400000,16
