"","Barrio","Clase.de.sitio","Código.DANE","New.DANE","EncBarrios","NewSitio"
"1","SECTOR PLAZA DE BOLIVAR","VIAS PUBLICAS","ARTÍCULO 429. VIOLENCIA CONTRA SERVIDOR PÚBLICO","1","1","1"
"2","TERMINAL DE TRANSPORTES","TERMINAL DE TRANSPORTES","ARTÍCULO 342. CONCIERTO PARA DELINQUIR (CIRCUNSTANCIAS DE AGRAVACIÓN)","2","2","2"
"3","SECTOR CARDER","ALMACENES","ARTÍCULO 239. HURTO ENTIDADES COMERCIALES","3","3","3"
"4","AMERICA","VIAS PUBLICAS","ARTÍCULO 239. HURTO MOTOCICLETAS","4","4","1"
"5","TERMINAL DE TRANSPORTES","TERMINAL DE TRANSPORTES","ARTÍCULO 239. HURTO ENTIDADES FINANCIERAS","5","2","2"
"6","SECTOR PARQUE EL LAGO","VIAS PUBLICAS","ARTÍCULO 239. HURTO PERSONAS","6","5","1"
"7","SECTOR PUENTES DE LA 9A CON 12","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","6","1"
"8","P.INDUSTRIAL A","VIAS PUBLICAS","ARTÍCULO 291. USO DE DOCUMENTO FALSO","8","7","1"
"9","VDA. COMBIA","PERIMETRO URBANO","ARTÍCULO 120. LESIONES CULPOSAS ( EN ACCIDENTE DE TRANSITO )","9","8","4"
"10","JARDIN DE VELEZ Y VELEZ","VIAS PUBLICAS","ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR","10","9","1"
"11","CENTRO (A) PEREIRA","LOTE BALDIO","ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR","10","10","5"
"12","SAN JUAN","CASAS DE HABITACION","ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR","10","11","6"
"13","GUAYACANES COM. SAN JOAQUIN","VIAS PUBLICAS","ARTÍCULO 229. VIOLENCIA INTRAFAMILIAR","10","12","1"
"14","POBLADO II","VIAS PUBLICAS","ARTÍCULO 429. VIOLENCIA CONTRA SERVIDOR PÚBLICO","1","13","1"
"15","COROCITO","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","14","1"
"16","LA VICTORIA","VIAS PUBLICAS","ARTÍCULO 239. HURTO PERSONAS","6","15","1"
"17","ALCAZARES CUBA V-3","VIAS PUBLICAS","ARTÍCULO 239. HURTO PERSONAS","6","16","1"
"18","TERRANOVA","VIAS PUBLICAS","ARTÍCULO 111. LESIONES PERSONALES","11","17","1"
"19","TERRANOVA","VIAS PUBLICAS","ARTÍCULO 111. LESIONES PERSONALES","11","17","1"
"20","PLUMON ALTO","VIAS PUBLICAS","ARTÍCULO 208. ACCESO CARNAL ABUSIVO CON MENOR DE 14 AÑOS","12","18","1"
"21","SECTOR GALERIA CENTRAL","VIAS PUBLICAS","ARTÍCULO 239. HURTO PERSONAS","6","19","1"
"22","PROVIDENCIA","VIAS PUBLICAS","ARTÍCULO 376. TRÁFICO, FABRICACIÓN O PORTE DE ESTUPEFACIENTES","7","20","1"
